slug,name,country,kind,province,lat,lon,pop2024,pop,region,netmig_rate,income_class,rotation_deg,erank,erank_norm,erank_l1,k90,erank_unrotated,orient_entropy,orient_order,grid_share,straightness,block_m,intersection_km2,four_way_share,deadend_share,street_km,n_ways,flag
ph-dasmarinas,City of Dasmariñas,Philippines,ph,Cavite,14.32708,120.93709,744511.0,,Asia,7.96,1st (as Mun),73.5,76.9,241.3,742.4,419,81.2,3.409,0.153,0.422,0.933,357.0,181.6,0.155,0.138,489.9,8268,
ph-cagayan-de-oro,City of Cagayan De Oro,Philippines,ph,Region X (Northern Mindanao),8.47564,124.64215,741617.0,,Asia,-5.12,1st,12.5,135.3,241.3,746.2,428,158.3,3.495,0.079,0.387,0.916,357.0,78.6,0.226,0.275,299.4,3833,region_matched
ph-valenzuela,City of Valenzuela,Philippines,ph,National Capital Region (NCR),14.69169,120.96945,725173.0,,Asia,-2.51,1st,62.5,132.2,249.3,733.7,416,153.2,3.465,0.105,0.381,0.94,312.0,77.6,0.079,0.284,305.4,4833,
ph-general-santos,City of General Santos,Philippines,ph,Region XII (SOCCSKSARGEN),6.11222,125.17219,722059.0,,Asia,-0.5,1st,0.5,55.4,85.1,582.2,278,46.3,3.187,0.329,0.676,0.946,78.0,74.6,0.143,0.222,274.8,3282,region_matched
ph-paranaque,City of Parañaque,Philippines,ph,National Capital Region (NCR),14.50081,120.99153,703245.0,,Asia,-0.96,1st,17.5,99.9,174.8,655.6,364,128.5,3.492,0.082,0.43,0.965,333.0,50.3,0.196,0.224,252.1,4669,
ph-san-jose-del-monte,City of San Jose Del Monte,Philippines,ph,Bulacan,14.8102,121.04741,685688.0,,Asia,5.67,1st,89.5,117.6,256.3,753.6,438,117.8,3.54,0.039,0.288,0.903,333.0,117.1,0.14,0.158,348.2,4729,
ph-bacoor,City of Bacoor,Philippines,ph,Cavite,14.45935,120.94019,661381.0,,Asia,-7.64,1st (as Mun),88.5,106.5,171.6,579.4,324,107.9,3.384,0.173,0.339,0.921,333.0,64.8,0.076,0.276,213.9,3816,
ph-bacolod,City of Bacolod,Philippines,ph,Negros Island Region (NIR),10.67628,122.95138,624787.0,,Asia,9.26,1st,22.5,74.0,110.3,572.4,306,147.8,3.28,0.257,0.548,0.945,143.0,61.9,0.231,0.172,260.7,2786,region_matched
ph-las-pinas,City of Las Piñas,Philippines,ph,National Capital Region (NCR),14.4809,120.98179,615549.0,,Asia,-1.57,1st,17.5,88.9,198.8,651.4,362,111.7,3.515,0.061,0.341,0.953,82.0,75.4,0.154,0.228,299.4,5114,
ph-binan,City of Biñan,Philippines,ph,Laguna,14.33883,121.08418,584479.0,,Asia,79.44,1st (as Mun),76.5,100.8,221.9,702.7,394,112.9,3.443,0.124,0.392,0.916,385.0,105.4,0.129,0.198,344.2,4652,
ph-calamba,City of Calamba,Philippines,ph,Laguna,14.20602,121.15565,575046.0,,Asia,7.59,1st,68.5,123.5,202.0,711.1,391,156.1,3.399,0.161,0.539,0.926,294.0,85.5,0.12,0.168,290.7,3828,
ph-muntinlupa,City of Muntinlupa,Philippines,ph,National Capital Region (NCR),14.38926,121.04491,552225.0,,Asia,-0.98,1st,0.5,81.8,163.7,640.9,355,79.0,3.476,0.095,0.43,0.909,357.0,74.9,0.163,0.197,306.9,3649,
ph-lapu-lapu,City of Lapu-Lapu,Philippines,ph,Region VII (Central Visayas),10.31267,123.94882,497813.0,,Asia,-10.75,1st,50.5,151.7,211.2,689.3,382,272.0,3.368,0.186,0.399,0.951,238.0,45.2,0.118,0.347,176.4,3716,region_matched;norm_short
ph-angeles,City of Angeles,Philippines,ph,Region III (Central Luzon),15.13481,120.59069,483452.0,,Asia,3.54,1st,27.5,107.4,264.9,761.3,445,120.0,3.496,0.078,0.332,0.948,250.0,115.2,0.182,0.154,432.7,5056,region_matched
ph-general-trias,City of General Trias,Philippines,ph,Cavite,14.38612,120.88029,482453.0,,Asia,8.93,1st (as Mun),77.5,80.6,221.9,738.3,416,89.0,3.418,0.145,0.421,0.929,385.0,152.0,0.135,0.163,430.8,6327,
ph-imus,City of Imus,Philippines,ph,Cavite,14.42902,120.93658,481949.0,,Asia,-12.18,3rd,88.5,68.3,211.5,732.6,406,69.7,3.282,0.256,0.52,0.925,357.0,195.8,0.091,0.208,510.4,7695,
ph-iloilo,City of Iloilo,Philippines,ph,Region VI (Western Visayas),10.69329,122.57326,473728.0,,Asia,5.8,1st,37.5,122.0,158.5,539.6,310,110.9,3.502,0.073,0.329,0.94,333.0,46.5,0.374,0.182,158.9,2128,region_matched;norm_short
ph-marikina,City of Marikina,Philippines,ph,National Capital Region (NCR),14.63311,121.09935,471323.0,,Asia,3.4,1st,0.5,90.7,233.1,750.9,429,90.3,3.46,0.109,0.415,0.954,333.0,122.1,0.17,0.197,451.7,6860,
ph-mandaluyong,City of Mandaluyong,Philippines,ph,National Capital Region (NCR),14.57744,121.0339,465902.0,,Asia,16.52,1st,38.5,96.6,280.5,763.1,446,109.9,3.548,0.032,0.318,0.963,357.0,111.6,0.262,0.103,446.9,9529,
ph-pasay,Pasay City,Philippines,ph,National Capital Region (NCR),14.5437,120.99465,453186.0,,Asia,1.64,1st,62.5,56.1,152.0,706.7,392,88.5,3.424,0.14,0.292,0.985,nan,86.4,0.324,0.098,366.5,6259,
ph-rodriguez,Rodriguez,Philippines,ph,Rizal,14.76352,121.25392,451383.0,,Asia,-2.7,1st,32.5,148.8,148.8,321.9,210,161.6,3.554,0.027,0.262,0.717,156.0,0.4,0.0,0.471,12.2,15,centroid_fallback;sparse_osm;norm_short
ph-santa-rosa,City of Santa Rosa,Philippines,ph,Laguna,14.3146,121.1137,430920.0,,Asia,2.8,1st,77.5,71.8,144.0,580.3,333,92.4,3.399,0.161,0.481,0.934,357.0,109.2,0.121,0.188,319.4,4187,
ph-tarlac,City of Tarlac,Philippines,ph,Tarlac,15.48612,120.58935,401892.0,,Asia,2.2,1st,87.5,139.5,244.0,762.6,447,142.9,3.565,0.017,0.274,0.908,227.0,81.6,0.115,0.226,311.0,2923,
ph-taytay,Taytay,Philippines,ph,Rizal,14.55871,121.13597,397111.0,,Asia,-1.02,1st,55.5,72.4,190.4,739.9,433,118.1,3.529,0.049,0.295,0.937,385.0,133.4,0.139,0.273,433.7,7158,
ph-malabon,City of Malabon,Philippines,ph,National Capital Region (NCR),14.65785,120.95113,389929.0,,Asia,-0.15,1st,1.5,110.6,217.5,712.5,415,112.7,3.434,0.131,0.226,0.968,nan,79.7,0.234,0.19,274.1,4057,
ph-lipa,City of Lipa,Philippines,ph,Batangas,13.94143,121.16428,387392.0,,Asia,0.29,1st,69.5,90.2,158.7,672.0,337,139.2,3.101,0.391,0.727,0.934,278.0,110.1,0.091,0.198,341.5,4051,
ph-cainta,Cainta,Philippines,ph,Rizal,14.57802,121.11631,386321.0,,Asia,0.47,1st,1.5,97.3,284.5,768.4,453,97.2,3.537,0.042,0.32,0.957,294.0,141.0,0.144,0.224,471.3,7611,
ph-butuan,City of Butuan,Philippines,ph,Region XIII (Caraga),8.94771,125.54321,385530.0,,Asia,1.95,1st,0.5,107.4,145.8,697.2,377,95.5,3.375,0.181,0.455,0.942,161.0,53.5,0.189,0.268,220.4,1740,region_matched
ph-cotabato,City of Cotabato,Philippines,ph,Maguindanao del Norte,7.22376,124.24671,383383.0,,Asia,32.89,3rd,28.5,94.6,110.4,615.6,304,207.4,3.157,0.351,0.69,0.939,263.0,35.8,0.195,0.28,170.2,1004,norm_short
ph-san-fernando,City of San Fernando,Philippines,ph,Pampanga,15.0283,120.6938,377534.0,,Asia,7.03,1st,50.5,110.2,187.2,709.9,392,173.0,3.449,0.119,0.422,0.944,nan,73.8,0.149,0.239,314.0,3566,
ph-baguio,City of Baguio,Philippines,ph,Cordillera Administrative Region (CAR),16.41199,120.59339,368426.0,,Asia,-6.28,1st,0.5,163.9,288.7,768.1,454,164.6,3.574,0.008,0.256,0.861,294.0,65.4,0.068,0.319,290.4,3950,region_matched
ph-iligan,City of Iligan,Philippines,ph,Region X (Northern Mindanao),8.22816,124.24115,368132.0,,Asia,-3.64,1st* (reclass 2005),8.5,129.9,160.4,652.2,374,174.8,3.555,0.026,0.307,0.919,nan,44.4,0.195,0.248,189.1,1472,region_matched;norm_short
ph-cabuyao,City of Cabuyao,Philippines,ph,Laguna,14.28014,121.12348,365202.0,,Asia,-0.6,1st (as Mun),77.5,101.9,207.4,711.8,389,113.4,3.274,0.262,0.455,0.922,357.0,117.5,0.118,0.157,335.4,4253,
ph-mandaue,City of Mandaue,Philippines,ph,Region VII (Central Visayas),10.3269,123.94273,364482.0,,Asia,-9.68,1st,50.5,156.8,227.4,699.3,395,260.3,3.425,0.139,0.366,0.971,357.0,50.4,0.13,0.33,211.4,3722,region_matched
ph-batangas,Batangas City,Philippines,ph,Batangas,13.75526,121.05908,358267.0,,Asia,0.65,1st,89.5,119.5,159.0,657.9,362,121.3,3.375,0.181,0.464,0.917,385.0,57.6,0.158,0.25,209.3,2563,
ph-san-pedro,City of San Pedro,Philippines,ph,Laguna,14.36394,121.05677,348968.0,,Asia,11.6,3rd,80.5,88.0,199.8,675.5,377,109.5,3.487,0.086,0.363,0.913,333.0,86.1,0.131,0.179,331.2,4475,
ph-cabanatuan,City of Cabanatuan,Philippines,ph,Nueva Ecija,15.4905,120.96843,343672.0,,Asia,4.85,1st,68.5,114.4,181.6,735.8,416,157.9,3.493,0.081,0.405,0.92,357.0,73.1,0.156,0.186,292.7,1978,
ph-tanza,Tanza,Philippines,ph,Cavite,14.40067,120.85728,339308.0,,Asia,11.5,1st,72.5,103.3,213.6,717.1,397,113.4,3.471,0.1,0.342,0.897,333.0,96.4,0.134,0.179,304.4,4354,
ph-santa-maria,Santa Maria,Philippines,ph,Bulacan,14.8188,120.96071,322525.0,,Asia,19.15,1st,89.5,155.8,207.3,753.5,436,162.4,3.508,0.067,0.317,0.888,333.0,55.8,0.109,0.292,215.9,2742,
ph-binangonan,Binangonan,Philippines,ph,Rizal,14.46476,121.19234,321281.0,,Asia,0.37,1st,48.5,173.8,188.0,538.6,334,148.0,3.55,0.03,0.149,0.921,294.0,37.2,0.085,0.355,135.4,1717,norm_short
ph-puerto-princesa,City of Puerto Princesa,Philippines,ph,MIMAROPA Region,9.73986,118.74382,316384.0,,Asia,1.45,1st,1.5,96.2,108.2,553.5,282,100.8,3.199,0.319,0.623,0.955,238.0,39.8,0.117,0.245,159.4,1178,name_unique_match;norm_short
ph-silang,Silang,Philippines,ph,Cavite,14.2234,120.97428,313145.0,,Asia,6.72,1st,81.5,135.1,161.4,697.5,375,139.8,3.262,0.271,0.521,0.898,357.0,46.0,0.118,0.237,197.7,1885,norm_short
ph-mabalacat,Mabalacat City,Philippines,ph,Pampanga,15.22508,120.57338,306594.0,,Asia,2.52,3rd,74.5,83.8,132.6,699.6,371,162.7,3.291,0.248,0.421,0.953,217.0,59.4,0.147,0.155,251.7,2626,
ph-san-pablo,City of San Pablo,Philippines,ph,Laguna,14.07005,121.3256,300166.0,,Asia,7.13,1st,61.5,140.8,217.3,730.8,409,194.0,3.44,0.126,0.439,0.932,238.0,71.5,0.128,0.185,250.4,2460,
ph-tagum,City of Tagum,Philippines,ph,Davao del Norte,7.44708,125.80949,300042.0,,Asia,-3.95,1st,38.5,109.9,181.7,764.1,451,108.3,3.443,0.124,0.26,0.948,385.0,92.0,0.149,0.265,343.0,3256,
ph-lucena,City of Lucena,Philippines,ph,Region IV-A (CALABARZON),13.93577,121.61286,280331.0,,Asia,-5.64,2nd,64.5,118.5,219.3,736.7,420,124.8,3.519,0.058,0.334,0.93,312.0,97.9,0.196,0.133,312.7,2754,region_matched
ph-san-mateo,San Mateo,Philippines,ph,Rizal,14.69519,121.1174,276449.0,,Asia,-2.7,1st,22.5,91.9,216.6,736.3,416,130.3,3.475,0.097,0.389,0.948,333.0,121.3,0.122,0.216,394.0,5410,
ph-malolos,City of Malolos,Philippines,ph,Bulacan,14.84376,120.81137,269809.0,,Asia,4.69,3rd,64.5,142.5,214.4,707.4,395,184.3,3.474,0.097,0.371,0.916,278.0,57.7,0.113,0.246,210.2,2600,
ph-olongapo,City of Olongapo,Philippines,ph,Region III (Central Luzon),14.83888,120.28436,264903.0,,Asia,-0.02,1st,2.5,135.1,156.2,698.5,385,155.0,3.502,0.073,0.304,0.937,nan,40.7,0.224,0.218,188.9,1456,region_matched;norm_short
ph-talisay,City of Talisay,Philippines,ph,Cebu,10.24302,123.84882,263832.0,,Asia,-8.22,3rd,40.5,124.6,177.6,533.9,330,138.3,3.567,0.015,0.235,0.925,357.0,52.7,0.071,0.348,169.0,3154,norm_short
ph-marilao,Marilao,Philippines,ph,Bulacan,14.7576,120.94847,263507.0,,Asia,1.34,1st,62.5,71.5,97.5,637.2,353,158.6,3.375,0.18,0.49,0.919,294.0,65.7,0.114,0.224,243.0,2988,
ph-marawi,City of Marawi,Philippines,ph,Lanao del Sur,8.00473,124.28544,259993.0,,Asia,46.79,4th,63.5,213.3,232.7,731.9,414,257.8,3.548,0.033,0.341,0.879,250.0,27.4,0.111,0.251,126.7,861,norm_short
ph-tacloban,City of Tacloban,Philippines,ph,Region VIII (Eastern Visayas),11.24316,125.00829,259353.0,,Asia,-0.24,1st,39.5,111.9,111.9,477.2,270,193.6,3.547,0.033,0.307,0.92,357.0,16.0,0.178,0.243,77.1,898,region_matched;norm_short
ph-navotas,City of Navotas,Philippines,ph,National Capital Region (NCR),14.65719,120.94797,252878.0,,Asia,-1.87,2nd,47.5,52.6,88.4,537.8,312,119.9,3.447,0.12,0.383,0.968,333.0,71.4,0.235,0.188,239.7,3665,
ph-ormoc,Ormoc City,Philippines,ph,Leyte,11.00526,124.60906,238545.0,,Asia,0.16,1st,18.5,140.9,140.9,607.5,341,190.8,3.493,0.081,0.333,0.929,227.0,26.0,0.163,0.261,110.6,878,norm_short
ph-naic,Naic,Philippines,ph,Cavite,14.31918,120.76425,236978.0,,Asia,83.26,1st,58.5,106.7,131.3,583.1,322,187.0,3.36,0.193,0.535,0.889,333.0,75.5,0.133,0.271,207.6,2965,
ph-meycauayan,City of Meycauayan,Philippines,ph,Bulacan,14.7345,120.95716,228023.0,,Asia,-3.64,3rd,62.5,79.6,158.2,671.3,356,182.2,3.359,0.194,0.523,0.942,312.0,64.8,0.1,0.262,237.4,3412,
ph-trece-martires,City of Trece Martires,Philippines,ph,Cavite,14.28222,120.8684,227892.0,,Asia,9.62,4th,73.5,118.8,229.3,730.5,409,116.7,3.459,0.11,0.417,0.898,357.0,124.2,0.148,0.135,331.0,3983,
ph-sto.-tomas,City of Sto. Tomas,Philippines,ph,Batangas,14.05885,121.18865,226772.0,,Asia,0.93,1st (as Mun),66.5,102.9,116.3,612.8,294,167.7,3.148,0.357,0.721,0.892,nan,25.6,0.112,0.202,112.4,1605,centroid_fallback;norm_short
ph-valencia,City of Valencia,Philippines,ph,Bukidnon,7.90288,125.0898,223620.0,,Asia,-3.12,2nd,24.5,191.4,229.7,731.9,413,204.3,3.532,0.047,0.284,0.903,294.0,29.0,0.114,0.213,150.6,754,norm_short
ph-panabo,City of Panabo,Philippines,ph,Davao del Norte,7.29987,125.68071,211242.0,,Asia,-4.96,3rd,0.5,98.5,130.9,685.7,361,99.0,3.302,0.24,0.502,0.941,333.0,72.0,0.118,0.215,258.0,1979,
ph-kabankalan,City of Kabankalan,Philippines,ph,Negros Occidental,9.98892,122.81348,210893.0,,Asia,6.24,1st,9.5,125.9,125.7,701.5,378,174.9,3.483,0.089,0.426,0.914,75.0,26.3,0.129,0.136,128.4,639,norm_short
ph-legazpi,City of Legazpi,Philippines,ph,Albay,13.13885,123.73457,210616.0,,Asia,-6.52,2nd,0.5,138.8,203.9,729.8,410,138.0,3.539,0.04,0.367,0.871,263.0,65.4,0.111,0.258,239.3,1976,
ph-naga,City of Naga,Philippines,ph,Camarines Sur,13.62401,123.18503,210545.0,,Asia,-6.12,2nd,2.5,143.7,188.1,692.8,383,145.2,3.516,0.06,0.33,0.94,333.0,55.3,0.142,0.213,206.2,2056,
ph-tanauan,City of Tanauan,Philippines,ph,Batangas,14.08524,121.15279,209697.0,,Asia,12.08,2nd,64.5,99.8,177.9,696.3,367,166.9,3.126,0.373,0.607,0.903,156.0,92.4,0.117,0.161,290.7,2666,
ph-san-carlos,City of San Carlos,Philippines,ph,Pangasinan,15.92677,120.34756,208330.0,,Asia,-3.3,3rd,67.5,197.9,201.4,686.2,377,332.4,3.406,0.155,0.445,0.896,238.0,10.4,0.107,0.311,93.8,477,norm_short
ph-toledo,City of Toledo,Philippines,ph,Cebu,10.37494,123.63441,206692.0,,Asia,-11.25,3rd,56.5,115.5,115.5,531.7,296,314.2,3.537,0.042,0.384,0.91,nan,8.2,0.098,0.339,61.5,399,norm_short
ph-pagadian,City of Pagadian,Philippines,ph,Zamboanga del Sur,7.82497,123.43658,206483.0,,Asia,-14.2,2nd,77.5,73.8,72.2,628.6,330,178.0,3.527,0.051,0.439,0.917,111.0,36.0,0.228,0.245,155.8,1128,norm_short
ph-koronadal,City of Koronadal,Philippines,ph,South Cotabato,6.5004,124.84354,201844.0,,Asia,0.3,3rd,40.5,34.7,50.5,523.7,181,251.9,2.704,0.64,0.891,0.975,68.0,52.4,0.209,0.203,241.7,1829,
ph-malaybalay,City of Malaybalay,Philippines,ph,Bukidnon,8.15504,125.13057,195046.0,,Asia,-6.07,1st,58.5,116.6,136.6,680.5,364,177.5,3.537,0.042,0.334,0.914,312.0,33.9,0.124,0.163,143.0,975,norm_short
ph-bago,City of Bago,Philippines,ph,Negros Occidental,10.53763,122.83528,192993.0,,Asia,0.92,2nd,83.5,71.2,71.2,576.3,320,135.1,3.537,0.042,0.304,0.924,357.0,21.1,0.134,0.167,94.5,652,norm_short
ph-digos,City of Digos,Philippines,ph,Davao del Sur,6.7441,125.35553,192063.0,,Asia,-2.79,2nd,3.5,55.2,75.5,641.9,308,108.8,3.092,0.398,0.709,0.972,74.0,71.5,0.166,0.2,294.1,1969,
ph-lubao,Lubao,Philippines,ph,Pampanga,14.93781,120.6005,190355.0,,Asia,14.84,1st,20.5,174.1,174.1,579.5,320,247.4,3.425,0.139,0.422,0.929,312.0,10.8,0.078,0.349,69.3,791,norm_short
ph-calbayog,City of Calbayog,Philippines,ph,Samar,12.06696,124.59467,187848.0,,Asia,-5.12,1st,26.5,89.5,89.5,538.7,296,163.4,3.512,0.064,0.438,0.882,333.0,15.9,0.241,0.235,71.3,410,norm_short
ph-sorsogon,City of Sorsogon,Philippines,ph,Sorsogon,12.97078,124.00525,187670.0,,Asia,-0.8,3rd,39.5,248.8,248.8,686.2,398,146.8,3.537,0.042,0.134,0.904,385.0,22.0,0.138,0.214,101.1,654,norm_short
ph-mexico,Mexico,Philippines,ph,Pampanga,15.06435,120.72054,187597.0,,Asia,10.87,1st,42.5,113.2,156.2,702.5,384,187.6,3.484,0.088,0.412,0.93,250.0,41.8,0.134,0.238,167.8,2147,norm_short
ph-roxas,City of Roxas,Philippines,ph,Capiz,11.58316,122.75256,185236.0,,Asia,2.63,3rd,0.5,131.9,180.4,718.8,398,131.6,3.434,0.131,0.493,0.88,312.0,66.7,0.144,0.192,236.0,1768,
ph-san-miguel,San Miguel,Philippines,ph,Bulacan,15.14053,120.97706,179792.0,,Asia,4.58,1st,69.5,178.7,191.0,735.8,416,260.9,3.545,0.035,0.306,0.918,nan,18.5,0.108,0.339,119.5,806,norm_short
ph-concepcion,Concepcion,Philippines,ph,Tarlac,15.32485,120.65539,178549.0,,Asia,4.08,1st,31.5,146.0,144.3,747.9,431,170.0,3.478,0.094,0.212,0.924,nan,31.8,0.136,0.299,148.6,1157,norm_short
ph-surigao,City of Surigao,Philippines,ph,Surigao del Norte,9.7905,125.49357,177333.0,,Asia,3.53,3rd,16.5,67.1,67.1,429.6,248,123.6,3.477,0.095,0.431,0.939,294.0,17.8,0.261,0.221,80.1,663,norm_short
ph-gen.-mariano-alvarez,Gen. Mariano Alvarez,Philippines,ph,Cavite,14.30562,121.01555,176927.0,,Asia,-0.79,1st,86.5,140.3,244.2,760.5,446,143.9,3.542,0.037,0.249,0.923,278.0,94.6,0.23,0.188,281.9,4943,centroid_fallback
ph-polomolok,Polomolok,Philippines,ph,South Cotabato,6.22024,125.06281,176671.0,,Asia,-3.3,1st,44.5,51.4,58.6,575.7,252,246.9,2.613,0.688,0.818,0.93,nan,49.0,0.164,0.267,215.4,1511,
ph-dagupan,City of Dagupan,Philippines,ph,Pangasinan,16.04302,120.33376,174777.0,,Asia,-6.04,2nd,65.5,157.6,169.9,651.4,347,231.4,3.25,0.281,0.506,0.935,227.0,22.7,0.108,0.346,113.6,1140,norm_short
ph-baliwag,City of Baliwag,Philippines,ph,Bulacan,14.95423,120.90092,174194.0,,Asia,3.01,1st (as Mun),76.5,150.7,230.7,749.3,431,156.3,3.506,0.069,0.319,0.905,278.0,64.4,0.119,0.234,258.2,2043,
ph-sariaya,Sariaya,Philippines,ph,Quezon,13.96298,121.52434,172018.0,,Asia,6.32,1st,72.5,102.0,102.3,642.9,331,177.3,3.333,0.215,0.576,0.925,263.0,23.3,0.168,0.225,116.9,720,norm_short
ph-tuguegarao,Tuguegarao City,Philippines,ph,Cagayan,17.61189,121.73004,167297.0,,Asia,-3.38,3rd,84.5,120.8,129.6,606.0,312,113.2,3.258,0.275,0.657,0.944,385.0,28.7,0.174,0.309,140.0,1182,norm_short
ph-ilagan,City of Ilagan,Philippines,ph,Isabela,17.14863,121.88865,164020.0,,Asia,1.82,1st (as Mun),89.5,179.1,179.1,619.8,337,184.6,3.515,0.061,0.327,0.9,nan,12.1,0.165,0.252,74.4,551,norm_short
ph-pandi,Pandi,Philippines,ph,Bulacan,14.86541,120.95725,162725.0,,Asia,4.74,2nd,89.5,140.5,194.8,721.8,399,144.7,3.497,0.077,0.374,0.889,385.0,57.7,0.125,0.233,181.7,2344,norm_short
ph-capas,Capas,Philippines,ph,Tarlac,15.33603,120.58958,162724.0,,Asia,1.02,1st,67.5,181.0,233.3,744.3,430,187.3,3.555,0.026,0.241,0.916,385.0,43.3,0.081,0.268,170.4,1404,norm_short
ph-cadiz,City of Cadiz,Philippines,ph,Negros Occidental,10.95665,123.3057,161558.0,,Asia,2.19,2nd,30.5,116.7,116.7,478.6,269,224.2,3.451,0.117,0.436,0.886,357.0,16.2,0.168,0.127,69.2,486,norm_short
ph-danao,Danao City,Philippines,ph,Cebu,10.51956,124.02713,161307.0,,Asia,-2.39,3rd,34.5,195.2,195.2,663.9,384,165.7,3.534,0.045,0.295,0.92,278.0,17.6,0.143,0.301,79.3,685,norm_short
ph-kidapawan,City of Kidapawan,Philippines,ph,Cotabato,7.00958,125.0905,160864.0,,Asia,-8.65,3rd,13.5,151.2,173.8,703.2,382,206.2,3.188,0.328,0.381,0.951,385.0,43.9,0.164,0.24,193.8,1217,norm_short
ph-liloan,Liloan,Philippines,ph,Cebu,10.42563,123.97264,158387.0,,Asia,-0.62,1st,36.5,167.8,172.7,690.0,377,201.5,3.565,0.017,0.277,0.877,294.0,24.5,0.078,0.268,113.7,1933,centroid_fallback;norm_short
ph-san-jose,San Jose City,Philippines,ph,Nueva Ecija,15.79174,120.98914,156714.0,,Asia,3.15,3rd,36.5,173.7,199.1,724.3,404,198.5,3.541,0.038,0.193,0.924,333.0,28.2,0.143,0.231,154.7,962,norm_short
ph-mariveles,Mariveles,Philippines,ph,Bataan,14.4356,120.49034,156200.0,,Asia,1.7,1st,0.5,170.4,170.4,597.2,325,169.9,3.558,0.023,0.274,0.877,278.0,13.6,0.147,0.253,80.8,454,norm_short
ph-minglanilla,Minglanilla,Philippines,ph,Cebu,10.24603,123.79606,155934.0,,Asia,-0.62,1st,77.5,128.7,176.4,623.0,360,156.2,3.527,0.051,0.373,0.92,357.0,63.8,0.066,0.317,204.1,2888,
ph-consolacion,Consolacion,Philippines,ph,Cebu,10.37578,123.95699,153931.0,,Asia,-0.82,1st,37.5,154.4,273.0,750.2,433,184.2,3.533,0.046,0.311,0.908,385.0,83.7,0.084,0.328,274.6,4675,
ph-datu-odin-sinsuat,Datu Odin Sinsuat,Philippines,ph,Maguindanao del Norte,7.02356,124.31571,152907.0,,Asia,55.06,2nd,50.5,159.8,159.8,706.3,403,216.9,3.492,0.082,0.318,0.928,nan,6.9,0.203,0.252,65.2,241,norm_short
ph-sagay,City of Sagay,Philippines,ph,Negros Occidental,10.89607,123.41546,152543.0,,Asia,2.5,3rd,25.5,165.7,165.7,696.9,385,199.4,3.548,0.032,0.281,0.876,250.0,18.0,0.143,0.153,97.8,454,norm_short
ph-jolo,Jolo,Philippines,ph,Sulu,6.05312,121.00076,152067.0,,Asia,16.51,1st,30.5,115.8,115.8,584.1,331,147.5,3.532,0.046,0.379,0.919,385.0,22.3,0.108,0.183,100.6,457,norm_short
ph-isabela,City of Isabela,Philippines,ph,Region IX (Zamboanga Peninsula),6.70536,121.97106,151297.0,,Asia,30.86,4th,0.5,206.7,206.7,679.4,374,208.3,3.503,0.072,0.318,0.888,294.0,11.6,0.076,0.327,75.8,358,norm_short
ph-arayat,Arayat,Philippines,ph,Pampanga,15.15048,120.77269,150949.0,,Asia,1.39,1st,15.5,227.4,230.7,705.8,401,190.8,3.52,0.057,0.232,0.932,294.0,25.0,0.072,0.307,119.7,879,norm_short
ph-santiago,City of Santiago,Philippines,ph,Isabela,16.6916,121.54786,150313.0,,Asia,-5.05,1st,70.5,141.3,169.1,735.6,418,188.8,3.56,0.022,0.262,0.953,385.0,41.4,0.272,0.205,193.8,1115,norm_short
ph-mati,City of Mati,Philippines,ph,Davao Oriental,6.95217,126.21668,148672.0,,Asia,-8.09,5th,44.5,136.4,136.4,601.8,339,192.9,3.529,0.049,0.326,0.918,nan,23.4,0.156,0.214,107.5,718,norm_short
ph-calapan,City of Calapan,Philippines,ph,Oriental Mindoro,13.41455,121.17954,148558.0,,Asia,-1.77,3rd,27.5,140.0,140.0,653.4,353,179.0,3.467,0.103,0.374,0.888,333.0,30.6,0.125,0.209,125.0,827,norm_short
ph-bocaue,Bocaue,Philippines,ph,Bulacan,14.79542,120.92536,147755.0,,Asia,3.34,1st,62.5,98.8,121.1,554.0,315,179.5,3.476,0.096,0.473,0.912,143.0,34.8,0.138,0.292,148.3,2060,norm_short
ph-porac,Porac,Philippines,ph,Pampanga,15.07265,120.54302,147551.0,,Asia,1.2,1st,53.5,204.2,224.6,721.3,402,264.2,3.437,0.129,0.256,0.919,250.0,19.6,0.09,0.301,104.0,1182,norm_short
ph-floridablanca,Floridablanca,Philippines,ph,Pampanga,14.9746,120.52772,146095.0,,Asia,11.09,1st,37.5,168.3,185.7,718.7,401,290.1,3.457,0.112,0.462,0.94,116.0,24.6,0.101,0.321,140.3,1310,norm_short
ph-urdaneta,City of Urdaneta,Philippines,ph,Pangasinan,15.976,120.5669,145935.0,,Asia,-3.13,2nd,88.5,152.9,176.3,697.2,373,159.2,3.34,0.209,0.5,0.898,nan,23.6,0.112,0.28,147.5,1061,norm_short
ph-tanay,Tanay,Philippines,ph,Rizal,14.49854,121.28563,145597.0,,Asia,2.64,1st,68.5,199.9,199.9,610.7,349,214.0,3.545,0.035,0.279,0.947,238.0,18.9,0.131,0.29,91.6,732,norm_short
ph-malasiqui,Malasiqui,Philippines,ph,Pangasinan,15.91991,120.41382,144344.0,,Asia,-4.32,1st,63.5,232.4,232.4,674.7,373,292.9,3.374,0.182,0.415,0.89,312.0,7.5,0.075,0.305,83.7,416,norm_short
ph-ozamiz,City of Ozamiz,Philippines,ph,Misamis Occidental,8.14702,123.84598,143620.0,,Asia,-3.1,3rd,47.5,79.9,79.9,498.8,289,240.9,3.45,0.118,0.406,0.929,nan,22.4,0.221,0.252,96.8,708,norm_short
